Date,Delivery Zone,Home Type,Price,Tip,Cash Tip,Distance (miles),Total Earnings,Tip Percentage,Earnings per Mile
17-Jan,E4,Apt ,40.0,5.0,Yes,1.1,45.0,12.5,40.91
17-Jan,E4,Apt ,26.3,1.0,No,1.2,27.3,3.8,22.75
19-Jan,SE6,House,40.0,0.0,No,4.7,40.0,0.0,8.51
19-Jan,SE9,House,31.35,8.76,No,4.2,40.11,27.94,9.55
19-Jan,N5,House,100.0,14.0,Yes,2.0,114.0,14.0,57.0
19-Jan,E4,House,38.44,4.05,No,0.6,42.49,10.54,70.82
19-Jan,N10,Townhouse,24.4,5.0,No,5.3,29.4,20.49,5.55
19-Jan,SW5,House,43.46,6.0,Yes,1.6,49.46,13.81,30.91
19-Jan,W4,Apt,29.74,5.0,No,1.1,34.74,16.81,31.58
19-Jan,NW10,Apt,50.0,4.0,Yes,5.6,54.0,8.0,9.64
19-Jan,NW9,House,68.15,11.3,No,2.8,79.45,16.58,28.38
19-Jan,NW9,Apt,36.91,2.0,No,3.9,38.91,5.42,9.98
19-Jan,NW9,Apt,38.39,6.91,No,3.9,45.3,18.0,11.62
19-Jan,W4,House,18.19,2.0,No,0.7,20.19,11.0,28.84
19-Jan,SW5,Townhouse,63.06,5.0,No,3.2,68.06,7.93,21.27
20-Jan,W4,House,35.09,5.0,No,2.6,40.09,14.25,15.42
20-Jan,SE6,House,27.5,4.5,Yes,4.5,32.0,16.36,7.11
20-Jan,SE9,House,24.28,4.8,No,4.1,29.08,19.77,7.09
20-Jan,E4,Apt,27.83,2.0,No,1.1,29.83,7.19,27.12
20-Jan,E4,House,27.94,0.0,No,2.5,27.94,0.0,11.18
20-Jan,NW9,House,86.57,18.0,No,2.3,104.57,20.79,45.47
20-Jan,NW9,Apt,35.45,5.33,No,3.9,40.78,15.04,10.46
20-Jan,NW9,House,227.54,27.3,No,2.8,254.84,12.0,91.01
20-Jan,NW9,House,48.2,5.25,No,2.7,53.45,10.89,19.8
20-Jan,NW9,Apt,43.3,3.0,No,3.9,46.3,6.93,11.87
20-Jan,NW9,Apt,64.56,9.3,No,1.6,73.86,14.41,46.16
20-Jan,NW9,House,47.13,9.0,No,3.7,56.13,19.1,15.17
20-Jan,E4,House,50.0,7.8,No,0.6,57.8,15.6,96.33
20-Jan,W4,House,68.44,10.0,No,0.8,78.44,14.61,98.05
20-Jan,W7,Apt,16.37,5.0,No,3.0,21.37,30.54,7.12
20-Jan,W7,Townhouse,32.94,5.0,No,4.6,37.94,15.18,8.25
20-Jan,E4,Townhouse,41.72,7.0,No,1.1,48.72,16.78,44.29
22-Jan,NW10,Apt,32.0,6.0,Yes,4.7,38.0,18.75,8.09
22-Jan,SE9,House,23.62,6.38,No,5.0,30.0,27.01,6.0
22-Jan,SE6,Townhouse,32.67,5.78,No,4.1,38.45,17.69,9.38
22-Jan,N10,Hotel,50.0,4.0,Yes,7.2,54.0,8.0,7.5
22-Jan,NW9,Apt,73.82,8.4,No,1.5,82.22,11.38,54.81
22-Jan,NW9,Apt,25.11,2.5,No,3.2,27.61,9.96,8.63
22-Jan,NW10,House,49.68,3.0,No,5.8,52.68,6.04,9.08
23-Jan,W4,Apt,26.54,5.0,No,2.8,31.54,18.84,11.26
23-Jan,SW5,House,123.0,10.0,Yes,3.1,133.0,8.13,42.9
23-Jan,E4,House,18.97,2.78,No,2.1,21.75,14.65,10.36
23-Jan,SE11,House,27.16,0.0,No,5.9,27.16,0.0,4.6
23-Jan,SE6,House,47.37,5.0,No,3.2,52.37,10.56,16.37
23-Jan,NW9,House,47.0,5.0,Yes,2.6,52.0,10.64,20.0
23-Jan,E4,Townhouse,25.68,3.6,No,1.2,29.28,14.02,24.4
23-Jan,W4,Apt,31.24,4.35,No,1.2,35.59,13.92,29.66
23-Jan,SE9,House,37.0,10.0,Yes,5.6,47.0,27.03,8.39
23-Jan,E4,Townhouse,34.32,6.38,No,1.2,40.7,18.59,33.92
23-Jan,E4,House,19.5,2.5,No,2.2,22.0,12.82,10.0
23-Jan,N5,House,29.24,4.5,No,1.9,33.74,15.39,17.76
23-Jan,SW5,House,105.0,13.0,Yes,3.6,118.0,12.38,32.78
23-Jan,E4,House,38.22,6.0,No,2.1,44.22,15.7,21.06
23-Jan,SE9,House,35.16,4.0,No,4.7,39.16,11.38,8.33
24-Jan,SE6,House,46.67,9.1,No,3.1,55.77,19.5,17.99
24-Jan,SW5,House,23.0,2.54,No,1.8,25.54,11.04,14.19
24-Jan,SE6,House,52.01,10.0,Yes,3.9,62.01,19.23,15.9
24-Jan,NW9,House,82.05,10.0,No,2.8,92.05,12.19,32.88
24-Jan,SE6,House,41.7,7.35,No,4.7,49.05,17.63,10.44
24-Jan,NW9,House,27.97,0.0,No,3.8,27.97,0.0,7.36
24-Jan,SW5,House,44.01,6.97,No,3.7,50.98,15.84,13.78
24-Jan,N10,Apt,42.72,3.0,No,3.9,45.72,7.02,11.72
24-Jan,NW9,Apt,22.76,5.0,Yes,3.2,27.76,21.97,8.68
24-Jan,SE9,House,64.3,8.0,No,4.9,72.3,12.44,14.76
24-Jan,SE11,House,38.98,8.9,No,7.2,47.88,22.83,6.65
26-Jan,SE9,House,35.04,11.38,No,4.2,46.42,32.48,11.05
26-Jan,SW5,House,47.0,6.0,Yes,1.5,53.0,12.77,35.33
26-Jan,S8,House,26.43,2.0,No,5.2,28.43,7.57,5.47
26-Jan,E4,House,41.18,7.35,No,1.3,48.53,17.85,37.33
26-Jan,SE6,House,43.36,5.0,No,4.2,48.36,11.53,11.51
26-Jan,SW5,House,41.0,0.0,No,1.9,41.0,0.0,21.58
26-Jan,SW5,House,18.05,2.38,No,1.8,20.43,13.19,11.35
26-Jan,NW9,Townhouse,42.76,5.17,No,2.6,47.93,12.09,18.43
26-Jan,N5,House,46.17,3.75,No,1.8,49.92,8.12,27.73
26-Jan,E4,Townhouse,43.28,10.0,No,1.2,53.28,23.11,44.4
26-Jan,SW5,Townhouse,44.0,1.0,Yes,3.4,45.0,2.27,13.24
27-Jan,E4,House,34.17,3.52,No,2.1,37.69,10.3,17.95
27-Jan,E4,House,38.34,7.2,No,2.0,45.54,18.78,22.77
27-Jan,SW5,House,25.86,5.2,No,2.4,31.06,20.11,12.94
27-Jan,SE6,House,19.05,5.0,No,4.7,24.05,26.25,5.12
27-Jan,SE6,House,131.23,6.0,Yes,4.6,137.23,4.57,29.83
27-Jan,SW5,House,45.0,8.0,Yes,2.8,53.0,17.78,18.93
